,code,name,lat,lng,u_s,u_r,return_perc
0,368,1555 Kapiolani Blvd,21.29,-157.84,29930.0,1187.0,3.97
1,51,11015-B Fairfax Boulevard,38.85,-77.33,82663.0,1960.0,2.37
2,42,731 Nassau Park Boulevard,40.3,-74.68,117619.0,2713.0,2.31
3,48,1803 Rockville Pike,39.06,-77.12,115907.0,2640.0,2.28
4,216,401 North Glendale Avenue,34.15,-118.24,166894.0,3738.0,2.24
5,713,2130 Pleasant Hill Road,33.96,-84.13,75463.0,1679.0,2.22
6,425,1579 Highway 22 West,40.64,-74.41,85554.0,1890.0,2.21
7,89,1400 University Drive,26.25,-80.25,123793.0,2721.0,2.2
8,574,2555 PRADO LANE,34.01,-84.55,75013.0,1636.0,2.18
9,751,67 US HWY 9,40.35,-74.31,87057.0,1895.0,2.18
10,37,137 Route 4 West,40.92,-74.06,156971.0,3420.0,2.18
11,855,11200 SAN JOSE BOULEVARD,0.0,0.0,51197.0,1104.0,2.16
12,47,5524 Leesburg Pike,38.85,-77.12,157225.0,3389.0,2.16
13,391,2100 88th Street,40.81,-74.01,121191.0,2612.0,2.16
14,188,302 N. Congress Ave,26.53,-80.09,221902.0,4724.0,2.13
15,813,2183 BLACK ROCK TURNPIKE,41.18,-73.25,71289.0,1520.0,2.13
16,49,715 W. Lancaster Avenue,40.02,-75.31,59203.0,1263.0,2.13
17,324,502 OLD COUNTRY ROAD,40.74,-73.62,127992.0,2730.0,2.13
18,754,170 NEEDHAM STREET,42.31,-71.21,55089.0,1170.0,2.12
19,273,1496 S. Randall Road,42.16,-88.34,109581.0,2308.0,2.11
20,703,20600 Lyons Road,26.37,-80.19,166872.0,3528.0,2.11
21,56,327 Route 10,40.8,-74.37,110323.0,2315.0,2.1
22,162,299 South Randolph Street,33.91,-117.89,80293.0,1688.0,2.1
23,29,3463 Long Beach Road,40.63,-73.64,119327.0,2499.0,2.09
24,1030,15870 1ST AVENUE SOUTH,47.46,-122.33,118883.0,2489.0,2.09
25,710,1490 Nixon Drive,39.94,-74.96,103179.0,2151.0,2.08
26,533,8655 CORAL WAY,25.75,-80.33,132052.0,2724.0,2.06
27,624,5226 MONTICELLO AVE,37.28,-76.75,83543.0,1713.0,2.05
28,57,672 W. Sunrise Highway,40.67,-73.72,187148.0,3818.0,2.04
29,706,10800 Pines Blvd.,26.01,-80.29,149911.0,3052.0,2.04
30,852,23 Mystic View Rd,0.0,0.0,47944.0,977.0,2.04
31,773,1806 NE 8th Street,0.0,0.0,78063.0,1594.0,2.04
32,39,535 Boston Post Road,40.99,-73.68,103574.0,2099.0,2.03
33,847,28150 WILLET WAY,0.0,0.0,49963.0,1015.0,2.03
34,840,8046 CONCORD MILLS BLVD,35.37,-80.72,71265.0,1437.0,2.02
35,219,3226 Buford Drive,34.06,-83.99,138667.0,2803.0,2.02
36,613,2701 184TH STREET SW,47.83,-122.27,49367.0,996.0,2.02
37,648,20803 STEVENS CREEK BLVD,37.32,-122.04,44822.0,905.0,2.02
38,696,440 SOUTH RAND RD,42.19,-88.11,52757.0,1058.0,2.01
39,694,2383 COTTMAN AVE,40.05,-75.06,74891.0,1499.0,2.0
40,80,8303 South Dixie Highway,25.69,-80.3,164847.0,3299.0,2.0
41,614,1438 HIGHWAY 20 WEST,33.42,-84.19,86291.0,1715.0,1.99
42,771,1285 B HWY 138,33.65,-84.0,84672.0,1681.0,1.99
43,346,455 Central Avenue,41.03,-73.79,92807.0,1851.0,1.99
44,344,5701 W Broad Street,37.59,-77.5,106202.0,2116.0,1.99
45,18,556 Route 17 North,40.96,-74.07,124679.0,2470.0,1.98
46,317,12 Promenade,40.81,-73.99,107247.0,2116.0,1.97
