code,name,lat,lng,art,concert,dance,film,theater,other
01M015,P.S. 015 Roberto Clemente,40.721834,-73.978766,3,4,2,5,2,0
01M019,P.S. 019 Asher Levy,40.729835,-73.984243,2,8,8,0,8,0
01M020,P.S. 020 Anna Silver,40.721067,-73.9864,1,7,3,0,2,0
01M063,The STAR Academy - P.S.63,40.724407,-73.986263,1,1,1,0,3,10
01M110,P.S. 110 Florence Nightingale,40.71525,-73.979994,1,0,4,0,2,0
01M134,P.S. 134 Henrietta Szold,40.714406,-73.983291,5,2,2,0,0,0
01M140,P.S. 140 Nathan Straus,40.719128,-73.983283,4,0,1,0,1,0
01M142,P.S. 142 Amalia Castro,40.718257,-73.984013,1,3,0,5,1,2
01M184,P.S. 184m Shuang Wen,40.711346,-73.985682,2,1,1,0,0,0
01M292,Orchard Collegiate Academy,40.713446,-73.986033,1,1,1,0,1,0
01M301,"Technology, Arts, and Sciences Studio",40.729835,-73.984243,2,3,1,1,0,0
01M363,Neighborhood School,40.724407,-73.986263,1,0,5,0,0,0
01M378,School for Global Leaders,40.720088,-73.986033,1,1,1,1,1,0
01M448,University Neighborhood High School,40.712354,-73.984059,5,3,8,4,1,0
01M458,Forsyth Satellite Academy,40.722445,-73.990395,1,0,0,1,0,0
01M509,Marta Valle High School,40.720088,-73.986033,1,3,2,0,1,0
01M515,Lower East Side Preparatory High School,40.720088,-73.986033,4,0,2,0,0,0
01M539,"New Explorations into Science, Technology and Math High School",40.7195,-73.979239,3,15,3,1,5,2
01M650,Cascades High School,40.722445,-73.990395,0,0,2,0,0,0
02M002,P.S. 002 Meyer London,40.713049,-73.99168,3,2,3,0,2,0
02M011,P.S. 011 William T. Harris,40.744289,-74.000679,1,0,16,0,4,2
02M033,P.S. 033 Chelsea Prep,40.749023,-74.000311,2,10,10,1,2,0
02M040,P.S. 040 Augustus Saint-Gaudens,40.735118,-73.981697,1,6,4,0,3,0
02M041,P.S. 041 Greenwich Village,40.735587,-73.99921,3,6,3,0,1,0
02M047,47 The American Sign Language and English Secondary School,40.738774,-73.981396,1,0,0,0,1,0
02M059,P.S. 059 Beekman Hill International,40.759213,-73.966183,10,8,3,0,3,1
02M077,P.S. 77 Lower Lab School,40.785013,-73.949989,1,3,1,0,1,0
02M089,P.S. 89,40.716912,-74.013597,0,5,5,0,0,0
02M104,J.H.S. 104 Simon Baruch,40.7358,-73.980569,2,2,0,1,2,0
02M114,East Side Middle School,40.780417,-73.947509,2,3,2,1,1,0
02M116,P.S. 116 Mary Lindley Murray,40.744493,-73.977631,1,4,0,1,0,0
02M130,P.S. 130 Hernando De Soto,40.718853,-73.998291,6,7,10,5,5,0
02M131,M.S. 131,40.716187,-73.993379,2,2,1,0,0,0
02M150,P.S. 150,40.718083,-74.010942,2,12,0,0,0,0
02M158,P.S. 158 Bayard Taylor,40.770254,-73.950907,3,7,4,2,3,0
02M167,J.H.S. 167 Robert F. Wagner,40.771827,-73.95794,1,2,1,0,3,0
02M177,Yorkville East Middle School,40.770254,-73.950907,2,1,1,0,1,0
02M198,P.S. 198 Isador E. Ida Straus,40.785013,-73.949989,0,5,1,0,1,0
02M212,P.S. 212 Midtown West,40.761218,-73.988604,0,5,0,0,0,0
02M225,Ella Baker School,40.765368,-73.959696,2,1,5,5,3,0
02M234,P.S. 234 Independence School,40.715972,-74.011465,4,7,5,0,0,0
02M255,M.S. 255 Salk School of Science,40.735118,-73.981697,2,0,0,20,4,0
02M260,M.S. 260 Clinton School Writers & Artists,40.73611,-73.992277,2,3,0,1,4,0
02M267,"East Side Elementary School, PS 267",40.763876,-73.963869,6,0,0,6,0,0
02M289,I.S. 289,40.716912,-74.013597,0,2,0,0,2,0
02M290,P.S. 290 Manhattan New School,40.775158,-73.952836,0,15,1,0,9,0
